Date|Username|IP|Host

March 25, 2010, 4:18:18 pm|akovacsik|205.189.26.78|205.189.26.78
March 25, 2010, 4:29:12 pm|akovacsik|205.189.26.78|205.189.26.78
March 25, 2010, 4:31:00 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 9:39:25 am|jeulenberg|205.189.26.93|205.189.26.93
March 29, 2010, 9:42:32 am|jeulenberg|205.189.26.93|205.189.26.93
March 29, 2010, 11:31:05 am|jeulenberg|205.189.26.93|205.189.26.93
March 29, 2010, 12:11:02 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 1:04:26 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 1:51:06 pm|jeulenberg|205.189.26.25|205.189.26.25
March 29, 2010, 2:04:25 pm|jeulenberg|205.189.26.93|205.189.26.93
March 29, 2010, 2:31:19 pm|jeulenberg|205.189.26.93|205.189.26.93
March 29, 2010, 2:52:10 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:04:10 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:04:31 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:06:46 pm|hawk8110|205.189.26.25|205.189.26.25
March 29, 2010, 3:07:11 pm|hawk8110|205.189.26.25|205.189.26.25
March 29, 2010, 3:07:19 pm|hawk8110|205.189.26.25|205.189.26.25
March 29, 2010, 3:07:29 pm|hawk8110|205.189.26.25|205.189.26.25
March 29, 2010, 3:07:42 pm|hawk8110|205.189.26.25|205.189.26.25
March 29, 2010, 3:08:18 pm|camp1979|205.189.26.25|205.189.26.25
March 29, 2010, 3:08:45 pm|camp1979|205.189.26.25|205.189.26.25
March 29, 2010, 3:09:02 pm|jeulenberg|205.189.26.25|205.189.26.25
March 29, 2010, 3:09:28 pm|bart9150|205.189.26.25|205.189.26.25
March 29, 2010, 3:09:50 pm|hawk8110|205.189.26.25|205.189.26.25
March 29, 2010, 3:09:59 pm|hawk8110|205.189.26.25|205.189.26.25
March 29, 2010, 3:10:07 pm|hawk8110|205.189.26.25|205.189.26.25
March 29, 2010, 3:10:28 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:14:25 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:14:41 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:19:42 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:20:31 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:26:30 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:26:35 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:26:46 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:27:04 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:28:10 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:28:18 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:30:53 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:31:00 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:33:57 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:39:17 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:39:25 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:39:49 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:40:24 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:41:33 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:42:12 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:48:41 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:49:30 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:50:44 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:53:09 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:53:16 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:54:02 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:54:56 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 3:55:16 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:59:23 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 3:59:59 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:00:38 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:00:44 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 4:00:53 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:02:01 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:03:12 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:04:52 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:06:06 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:14:03 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 4:14:44 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 4:14:50 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:16:09 pm|jeulenberg|205.189.26.93|205.189.26.93
March 29, 2010, 4:16:16 pm|kova8670|205.189.26.78|205.189.26.78
March 29, 2010, 4:16:34 pm|akovacsik|205.189.26.78|205.189.26.78
March 29, 2010, 4:17:14 pm|pepp1162|205.189.26.39|205.189.26.39
March 29, 2010, 4:18:03 pm|robb7740|205.189.26.111|205.189.26.111
March 29, 2010, 4:21:06 pm|petr6650|99.237.38.228|CPE0015f25c7242-CM001a668ed9a2.cpe.net.cable.rogers.com
March 29, 2010, 4:24:35 pm|ahre1010|172.20.11.18|172.20.11.18
March 29, 2010, 4:24:43 pm|bart9150|172.21.17.86|172.21.17.86
March 29, 2010, 4:26:23 pm|ahre1010|172.20.11.18|172.20.11.18
March 29, 2010, 4:30:46 pm|yusk4110|99.236.209.211|CPE00195bf6694d-CM001a666ac2be.cpe.net.cable.rogers.com
March 29, 2010, 4:38:56 pm|cowi5680|172.20.11.2|172.20.11.2
March 29, 2010, 4:39:47 pm|mate7280|172.20.10.173|172.20.10.173
March 29, 2010, 4:47:26 pm|prup3300|96.20.51.39|modemcable039.51-20-96.mc.videotron.ca
March 29, 2010, 4:49:22 pm|clar3030|172.20.5.124|172.20.5.124
March 29, 2010, 4:55:16 pm|beac8010|172.21.18.193|172.21.18.193
March 29, 2010, 5:02:55 pm|simx4810|172.20.5.218|172.20.5.218
March 29, 2010, 5:12:41 pm|jame3780|174.113.149.183|CPE0019d142b318-CM000e5c6e5142.cpe.net.cable.rogers.com
March 29, 2010, 5:16:50 pm|schu5220|99.255.151.86|CPE00222d2f8112-CM00222d2f810e.cpe.net.cable.rogers.com
March 29, 2010, 5:18:19 pm|simm6360|99.237.233.251|CPE001a70d1bbae-CM0014f85c3c54.cpe.net.cable.rogers.com
March 29, 2010, 5:19:06 pm|schu5220|99.255.151.86|CPE00222d2f8112-CM00222d2f810e.cpe.net.cable.rogers.com
March 29, 2010, 5:19:50 pm|schu5220|99.255.151.86|CPE00222d2f8112-CM00222d2f810e.cpe.net.cable.rogers.com
March 29, 2010, 5:23:40 pm|hutt2560|173.32.145.229|CPE00226b6daf64-CM001868e55ae2.cpe.net.cable.rogers.com
March 29, 2010, 5:25:33 pm|tsuj0590|65.93.26.181|bas2-kitchener06-1096620725.dsl.bell.ca
March 29, 2010, 5:26:42 pm|pois9660|99.235.230.232|CPE00222d398650-CM00222d39864c.cpe.net.cable.rogers.com
March 29, 2010, 5:32:59 pm|well0940|99.255.51.62|CPE0018f8c0bf83-CM0011ae92cb7e.cpe.net.cable.rogers.com
March 29, 2010, 5:35:23 pm|klem5550|99.236.145.50|CPE00222d181f0d-CM00222d181f09.cpe.net.cable.rogers.com
March 29, 2010, 5:40:59 pm|ahre1010|172.20.11.18|172.20.11.18
March 29, 2010, 5:43:52 pm|phil3510|192.168.52.36|192.168.52.36
March 29, 2010, 5:53:47 pm|brau8220|99.255.150.41|CPE00222d505a80-CM00222d505a7c.cpe.net.cable.rogers.com
March 29, 2010, 6:03:48 pm|leop4880|172.21.17.29|172.21.17.29
March 29, 2010, 6:05:11 pm|leop4880|172.21.17.29|172.21.17.29
March 29, 2010, 6:16:22 pm|sing3360|173.32.152.111|CPE000ae4d4ce2e-CM0019475dcb14.cpe.net.cable.rogers.com
March 29, 2010, 6:17:54 pm|harn9730|192.219.239.148|n1043-8.wlu.ca
March 29, 2010, 6:29:41 pm|spal4260|70.27.26.208|bas1-kitchener09-1176181456.dsl.bell.ca
March 29, 2010, 6:39:47 pm|wiel9140|172.20.16.44|172.20.16.44
March 29, 2010, 6:43:24 pm|perr3090|173.32.145.225|CPE0013f7f2606a-CM0013f7f26066.cpe.net.cable.rogers.com
March 29, 2010, 6:44:33 pm|whee0540|70.27.25.38|bas1-kitchener09-1176181030.dsl.bell.ca
March 29, 2010, 6:48:26 pm|munr0250|99.236.201.173|CPE00222d3922ea-CM00222d3922e6.cpe.net.cable.rogers.com
March 29, 2010, 7:02:04 pm|brai1500|173.33.42.155|CPE00222d17e379-CM00222d17e375.cpe.net.cable.rogers.com
March 29, 2010, 7:17:26 pm|whal8230|172.20.10.16|172.20.10.16
March 29, 2010, 7:27:28 pm|szto9220|172.21.33.229|172.21.33.229
March 29, 2010, 7:32:09 pm|fern5640|65.93.213.37|bas2-kitchener06-1096668453.dsl.bell.ca
March 29, 2010, 7:53:59 pm|jala5150|99.253.231.151|CPE002275a5bd05-CM0017ee61ca72.cpe.net.cable.rogers.com
March 29, 2010, 8:33:06 pm|whee0540|70.27.25.38|bas1-kitchener09-1176181030.dsl.bell.ca
March 29, 2010, 8:43:09 pm|ozso8710|206.126.81.132|ip-132.81.126.206.dsl-cust.ca.inter.net
March 29, 2010, 8:55:32 pm|garc0830|99.235.242.81|CPE001b114b7334-CM00194747b2b2.cpe.net.cable.rogers.com
March 29, 2010, 9:13:22 pm|mayo3650|99.236.12.212|CPE0013f7ab8b0c-CM0013f7ab8b08.cpe.net.cable.rogers.com
March 29, 2010, 9:23:07 pm|nels5370|172.20.14.109|172.20.14.109
March 29, 2010, 9:26:21 pm|wats1980|24.150.219.76|d24-150-219-76.home.cgocable.net
March 29, 2010, 9:26:41 pm|soor3710|192.168.52.69|192.168.52.69
March 29, 2010, 9:28:28 pm|mcni1910|65.95.24.219|bas2-kitchener06-1096751323.dsl.bell.ca
March 29, 2010, 9:51:56 pm|huds7150|99.255.151.86|CPE00222d2f8112-CM00222d2f810e.cpe.net.cable.rogers.com
March 29, 2010, 9:56:44 pm|flem2050|99.236.61.184|CPE0013f7f84236-CM0013f7f84232.cpe.net.cable.rogers.com
March 29, 2010, 10:11:37 pm|bren9640|76.10.171.108|76-10-171-108.dsl.teksavvy.com
March 29, 2010, 10:13:14 pm|deem3000|65.93.133.184|bas1-kitchener06-1096648120.dsl.bell.ca
March 29, 2010, 10:20:26 pm|mitt4880|99.255.151.62|CPE001e5837721c-CM00195ed9dc84.cpe.net.cable.rogers.com
March 29, 2010, 10:27:24 pm|todo5460|172.20.14.110|172.20.14.110
March 29, 2010, 11:16:22 pm|jorg9650|99.235.230.232|CPE00222d398650-CM00222d39864c.cpe.net.cable.rogers.com
March 29, 2010, 11:38:54 pm|huss5140|173.32.145.236|CPE001e58059984-CM0011e6c798b3.cpe.net.cable.rogers.com
March 30, 2010, 12:38:51 am|swid6760|99.254.175.54|CPE00222d2e4a86-CM00222d2e4a82.cpe.net.cable.rogers.com
March 30, 2010, 8:03:00 am|gosn1200|172.20.12.30|172.20.12.30
March 30, 2010, 8:04:32 am|gosn1200|172.20.12.30|172.20.12.30
March 30, 2010, 9:03:48 am|macm9180|172.21.24.44|172.21.24.44
March 30, 2010, 9:42:17 am|brad7760|172.20.9.210|172.20.9.210
March 30, 2010, 10:35:10 am|dohe9180|172.21.21.33|172.21.21.33
March 30, 2010, 10:58:26 am|gosn1200|205.189.25.63|wlu-25-63.wlu.ca
March 30, 2010, 11:35:05 am|zimm7650|99.241.224.24|CPE0048548e63ad-CM0017ee54f582.cpe.net.cable.rogers.com
March 30, 2010, 12:14:05 pm|ruet9450|99.236.21.89|CPE00222d1ed905-CM00222d1ed901.cpe.net.cable.rogers.com
March 30, 2010, 12:32:02 pm|prup3300|96.20.51.39|modemcable039.51-20-96.mc.videotron.ca
March 30, 2010, 1:11:55 pm|bail4220|206.221.251.134|wifi-static-221-251-134.netflash.net
March 30, 2010, 2:03:02 pm|stav1160|172.20.16.27|172.20.16.27
March 30, 2010, 2:38:55 pm|bart3240|70.49.37.54|bas6-kitchener06-1177625910.dsl.bell.ca
March 30, 2010, 4:28:41 pm|serl0460|172.21.29.53|172.21.29.53
March 30, 2010, 5:31:19 pm|boss9120|172.21.29.225|172.21.29.225
March 30, 2010, 6:04:41 pm|loch5540|99.236.69.10|CPE0014d1346e47-CM001bd7cc14bc.cpe.net.cable.rogers.com
March 30, 2010, 6:25:18 pm|woot1820|99.236.105.154|CPE001d7e52928b-CM000a7363c854.cpe.net.cable.rogers.com
March 30, 2010, 6:32:15 pm|chee8480|172.21.26.115|172.21.26.115
March 30, 2010, 8:37:04 pm|tayl6745|172.20.16.116|172.20.16.116
March 30, 2010, 9:08:47 pm|grie5310|70.27.26.43|bas1-kitchener09-1176181291.dsl.bell.ca
March 30, 2010, 9:17:09 pm|shaw7950|99.236.182.77|CPE0013464ba041-CM0018c0b3e454.cpe.net.cable.rogers.com
March 30, 2010, 9:21:04 pm|marw3110|172.20.10.15|172.20.10.15
March 30, 2010, 9:38:56 pm|bess8760|173.32.155.18|CPE002401cb4d1f-CM00252e20e444.cpe.net.cable.rogers.com
March 30, 2010, 9:40:25 pm|bess8760|173.32.155.18|CPE002401cb4d1f-CM00252e20e444.cpe.net.cable.rogers.com
March 30, 2010, 11:01:42 pm|mark0410|172.21.16.48|172.21.16.48
March 31, 2010, 12:53:40 am|davi8660|65.95.175.122|bas3-london14-1096789882.dsl.bell.ca
March 31, 2010, 12:55:13 am|davi8660|65.95.175.122|bas3-london14-1096789882.dsl.bell.ca
March 31, 2010, 8:59:39 am|jeulenberg|205.189.26.93|205.189.26.93
March 31, 2010, 9:29:46 am|swid6760|99.254.175.54|CPE00222d2e4a86-CM00222d2e4a82.cpe.net.cable.rogers.com
March 31, 2010, 9:49:47 am|akovacsik|205.189.26.78|205.189.26.78
March 31, 2010, 10:05:21 am|hend3020|173.32.155.88|CPE001cc06c5f46-CM0019475d1900.cpe.net.cable.rogers.com
March 31, 2010, 11:06:29 am|jeulenberg|205.189.26.93|205.189.26.93
March 31, 2010, 11:12:10 am|kodo9850|172.20.8.162|172.20.8.162
March 31, 2010, 11:51:14 am|jeulenberg|205.189.26.93|205.189.26.93
March 31, 2010, 12:06:36 pm|miln9460|172.20.6.177|172.20.6.177
March 31, 2010, 12:28:14 pm|akovacsik|205.189.26.78|205.189.26.78
March 31, 2010, 12:40:42 pm|blin2490|205.189.25.248|wlu-25-248.wlu.ca
March 31, 2010, 1:15:04 pm|jeulenberg|205.189.26.93|205.189.26.93
March 31, 2010, 1:18:15 pm|jeulenberg|205.189.26.93|205.189.26.93
March 31, 2010, 1:32:29 pm|nels5370|172.21.22.48|172.21.22.48
